;date;price
1;01/10/2018;113.95
2;02/10/2018;115.34
3;03/10/2018;114.6
4;04/10/2018;113.84
5;05/10/2018;112.52
6;08/10/2018;113.73
7;09/10/2018;114.58
8;10/10/2018;110.63
9;11/10/2018;108.96
10;12/10/2018;110.39
11;15/10/2018;111.2
12;16/10/2018;113.9
13;17/10/2018;114.82
14;18/10/2018;113.89
15;19/10/2018;116.56
16;22/10/2018;115.94
17;23/10/2018;115.53
18;24/10/2018;109.41
19;25/10/2018;111.91
20;26/10/2018;110.96
21;29/10/2018;110.81
22;30/10/2018;112.5
23;31/10/2018;112.57
24;01/11/2018;113.81
25;02/11/2018;112.91
26;05/11/2018;113.17
27;06/11/2018;114.41
28;07/11/2018;114.74
29;08/11/2018;113.71
30;09/11/2018;115.67
31;12/11/2018;114.4
32;13/11/2018;114.55
33;14/11/2018;114.81
34;15/11/2018;114.8
35;16/11/2018;113.9
36;19/11/2018;113.14
37;20/11/2018;109.66
38;21/11/2018;110.8
39;23/11/2018;109.87
40;26/11/2018;110.33
41;27/11/2018;111.65
42;28/11/2018;113.81
43;29/11/2018;114.31
44;30/11/2018;113.21
45;03/12/2018;113.46
46;04/12/2018;110.64
47;06/12/2018;112.08
48;07/12/2018;110.62
49;10/12/2018;110.5
50;11/12/2018;110.61
51;12/12/2018;110.85
52;13/12/2018;112.02
53;14/12/2018;110.84
54;17/12/2018;109.28
55;18/12/2018;108.12
56;19/12/2018;107.9
57;20/12/2018;105.7
58;21/12/2018;102.96
59;24/12/2018;99.138
60;26/12/2018;104.55
61;27/12/2018;105.23
62;28/12/2018;106
63;31/12/2018;108.32
64;02/01/2019;107.65
65;03/01/2019;105.04
66;04/01/2019;108.28
67;07/01/2019;109.22
68;08/01/2019;110.07
69;09/01/2019;111.3
70;10/01/2019;111.43
71;11/01/2019;111.28
72;14/01/2019;111.06
73;15/01/2019;110.41
74;16/01/2019;109.57
75;17/01/2019;109.66
76;18/01/2019;109.69
77;22/01/2019;109.26
78;23/01/2019;109.77
79;24/01/2019;109.21
80;25/01/2019;109.74
81;28/01/2019;109.47
82;29/01/2019;109.56
83;30/01/2019;108.8
84;31/01/2019;110.17
85;01/02/2019;109.95
86;04/02/2019;110.45
87;05/02/2019;111.29
88;06/02/2019;110.06
89;07/02/2019;109.61
90;08/02/2019;110.16
91;11/02/2019;108.11
92;12/02/2019;107.88
93;13/02/2019;108.86
94;14/02/2019;109.32
95;15/02/2019;111.23
96;19/02/2019;112.13
97;20/02/2019;112.3
98;21/02/2019;112.91
99;22/02/2019;113.85
100;25/02/2019;112.21
101;26/02/2019;112.12
102;27/02/2019;111.41
103;28/02/2019;111.47
104;01/03/2019;112.63
105;04/03/2019;112.94
106;05/03/2019;112.62
107;06/03/2019;113.46
108;07/03/2019;112.63
109;08/03/2019;112.43
110;11/03/2019;113.36
111;12/03/2019;113.34
112;13/03/2019;112.71
113;14/03/2019;113.09
114;15/03/2019;113.57
115;18/03/2019;111.75
116;19/03/2019;108.67
117;20/03/2019;108.66
118;21/03/2019;107.34
119;22/03/2019;106.92
120;25/03/2019;106.48
121;26/03/2019;108.81
122;27/03/2019;108.94
123;28/03/2019;109.37
124;29/03/2019;109.68
125;01/04/2019;111.15
126;02/04/2019;110.6
127;03/04/2019;111.16
128;04/04/2019;113.36
129;05/04/2019;113.61
130;08/04/2019;113.57
131;09/04/2019;115.44
132;10/04/2019;115.74
133;11/04/2019;115.19
134;12/04/2019;128.48
135;15/04/2019;130.44
136;16/04/2019;128.33
137;17/04/2019;130.15
138;18/04/2019;130.85
139;22/04/2019;130.09
140;23/04/2019;131.74
141;24/04/2019;133.46
142;25/04/2019;135.58
143;26/04/2019;138.23
144;29/04/2019;137.61
145;30/04/2019;135.31
146;01/05/2019;134.73
147;02/05/2019;132.52
148;03/05/2019;132.7
149;06/05/2019;133.37
150;07/05/2019;131.82
151;08/05/2019;133.36
152;09/05/2019;131.97
153;10/05/2019;132.42
154;13/05/2019;129.75
155;14/05/2019;131.59
156;15/05/2019;133.05
157;16/05/2019;133.86
158;17/05/2019;133.4
159;20/05/2019;132.29
160;21/05/2019;132.47
161;22/05/2019;132.23
162;23/05/2019;131.12
163;24/05/2019;131.18
164;28/05/2019;131.01
165;29/05/2019;129.98
166;30/05/2019;130.6
167;31/05/2019;130.44
